Conversation_ID,Session_Duration,Packet_Count,Total_Length,Avg_Packet_Length,SYN_Flag_Count,ACK_Flag_Count,FIN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,URG_Flag_Count,Avg_TTL,Protocol_Encoded,Payload_Length,Anomaly_Score,Target
108.159.91.75-192.168.51.100,31.559252,2,120.0,60.0,0,0,0,0,0,0,244.0,1,3.0,1,Normal
117.18.232.200-192.168.51.100,0.0,1,66.0,66.0,0,0,0,0,0,0,54.0,1,3.0,1,Normal
13.107.5.93-192.168.51.100,0.0,1,66.0,66.0,0,0,0,0,0,0,111.0,1,3.0,1,Normal
148.72.132.43-192.168.51.100,4.645472,2,108.0,54.0,0,0,0,0,0,0,41.0,1,3.0,1,Normal
148.72.164.10-192.168.51.100,6.356979,2,108.0,54.0,0,0,0,0,0,0,41.0,1,3.0,1,Normal
151.101.154.137-192.168.51.100,5.639556,1114,1354673.0,1216.043985637343,0,0,0,0,0,0,54.0,1,3.0,-1,Suspicious
192.168.51.100-108.159.91.75,31.607297,3,163.0,54.333333333333336,0,0,0,0,0,0,128.0,1,3.0,1,Normal
192.168.51.100-117.18.232.200,0.0,1,55.0,55.0,0,0,0,0,0,0,128.0,1,3.0,1,Normal
192.168.51.100-13.107.5.93,0.0,1,55.0,55.0,0,0,0,0,0,0,128.0,1,3.0,1,Normal
192.168.51.100-148.72.132.43,4.639633,2,110.0,55.0,0,0,0,0,0,0,128.0,1,3.0,1,Normal
192.168.51.100-148.72.164.10,6.34992,2,110.0,55.0,0,0,0,0,0,0,128.0,1,3.0,1,Normal
192.168.51.100-151.101.154.137,5.699862,137,18780.0,137.08029197080293,0,0,0,0,0,0,128.0,1,3.0,1,Normal
192.168.51.100-192.168.51.163,36.136,63,5060.0,80.31746031746032,0,0,0,0,0,0,128.0,2,3.0,1,Normal
192.168.51.100-20.212.88.117,0.0,1,55.0,55.0,0,0,0,0,0,0,128.0,1,3.0,1,Normal
192.168.51.100-20.42.73.28,45.93974,6,1627.0,271.1666666666667,0,0,0,0,0,0,128.0,1,3.1666666666666665,-1,Suspicious
192.168.51.100-204.79.197.222,0.293637,12,3406.0,283.8333333333333,0,0,0,0,0,0,128.0,1,3.0,1,Normal
192.168.51.100-207.120.40.165,4.296578,648,54955.0,84.8070987654321,0,0,0,0,0,0,128.0,1,3.0,1,Normal
192.168.51.100-207.120.40.170,0.539272,29,7795.0,268.7931034482759,0,0,0,0,0,0,128.0,1,3.0,1,Normal
192.168.51.100-40.112.186.181,0.0,1,54.0,54.0,0,0,0,0,0,0,128.0,1,3.0,1,Normal
192.168.51.163-192.168.51.100,36.135391,58,11466.0,197.68965517241372,0,0,0,0,0,0,64.0,2,3.0,1,Normal
20.212.88.117-192.168.51.100,0.0,1,66.0,66.0,0,0,0,0,0,0,43.0,1,3.0,1,Normal
20.42.73.28-192.168.51.100,45.978203,5,421.0,84.2,0,0,0,0,0,0,103.0,1,3.0,1,Normal
204.79.197.222-192.168.51.100,0.308465,17,8155.0,479.7058823529412,0,0,0,0,0,0,115.94117647058825,1,3.0,1,Normal
207.120.40.165-192.168.51.100,4.20853,2644,3362715.0,1271.8286686838123,0,0,0,0,0,0,50.07602118003026,1,3.001134644478064,-1,Suspicious
207.120.40.170-192.168.51.100,0.426045,45,33630.0,747.3333333333334,0,0,0,0,0,0,50.0,1,3.0,1,Normal
40.112.186.181-192.168.51.100,0.0,1,186.0,186.0,0,0,0,0,0,0,104.0,1,3.0,1,Normal
